"ItemID","Description","Barcode","Manufacturer","Qty","UnitPrice",
"SW-COLT5-W","Switcheasy Case iPod Touch5 Colors White","4897017129598","SwitchEasy","2","12.927599884772292",
"BT-900-00007-03","Beats Headphone iPhone iPod Powerbeats Red","848447000494","Beats by Dre","168","77.607597064280526",
"BT-900-00030-03","Beats Headphones Studio Red","848447000807","Beats by Dre","493","181.09559126975546",
"BT-900-00040-03","Beats Headphone Heartbeats White","848447000395","Beats by Dre","622","139.70039358756549",
"KGEF14","Marware Case Kindle Kindle Touch EcoFlip Pink","602956009870","Marware","40","15.514798938822764",
"AIHB1P","Marware Case iPad Mini C.E.O. Hybrid Carbon Fiber","602956010333","Marware","244","20.689198649096511",
"AIHB1Y","Marware Case iPad Mini C.E.O. Hybrid Purple","602956010661","Marware","44","20.689198649096511",
"TB1-KS-M-CBT","M-Edge SuperStylus\, Cobalt","813580015568","M-Edge","36","10.340400029635418",
"TB1-KS-M-PK","M-Edge SuperStylus\, Pink","813580014226","M-Edge","35","10.340400029635418",
"TB1-STY-M-B","M-Edge Stylus\, Black","813580016657","M-Edge","35","7.7531993734121443",
"iD50B","iHome Speaker Bluetooth iD50 Black","47532898132","iHome","13","119.0027947464705",
"BT-900-00013-03","Beats Headphone iPhone iPod Solo HD Red","848447000623","Beats by Dre","2674","113.82839183185115",
"602956010807","Marware Case iPhone 5 C.E.O. Prestige Plus Black","602956010807","Marware","35","20.689198649096511",
"SW-HEAKIP-BP","SwitchEasy Case iPhone5 KIRIGAMI Heart Sweet Love","4897017130105","SwitchEasy","11","15.514798938822764",
"BT-900-00010-03","Beats Headphone Wireless White","848447000920","Beats by Dre","555","163.50598976814763",
"SW-LAN5-BK","SwitchEasy Case iPhone5 Lanyard Shadoe Black","4897017129031","SwitchEasy","1","15.514798938822764",
"IA63","iHome Speaker iPhone 4 4S iA63 Black","47532896688","iHome","35","51.735598512911793",
"MM-IE1-PE","X-1 Headphones Momentum White/Purple","689076073219","H2O","13","25.863599961543059",
"MM-IE1-PK","X-1 Headphones Momentum Pink","689076072717","H2O","13","25.863599961543059",
"MM-IE1-TL","X-1 Headphones Momentum White/Teal","689076072816","H2O","15","25.863599961543059",
"MM-IE1-WE","X-1 Headphones Momentum White","689076072618","H2O","17","25.863599961543059",
"SW-NUT5-UC","Switcheasy Case iPod Touch5 NUDE UltraClear","4897017129727","SwitchEasy","220","12.927599884772292",
"SW-COLN7-W","Switcheasy Case iPod Nano7 Colors White","4897017129840","SwitchEasy","5","9.3071996453285237",
